"pk","timestamp","confidence","price","version","quote","exchange","provider"
"doge#price","1713831552002","0.00014772","0.16077359","2","usd","pyth","pyth"
"doge#price","1713831553000","0.00015111","0.16077373","2","usd","pyth","pyth"
"doge#price","1713831553001","0.00013946","0.1607723","2","usd","pyth","pyth"
"doge#price","1713831553002","0.00013686","0.16076693","2","usd","pyth","pyth"
"doge#price","1713831554000","0.00013796","0.16076693","2","usd","pyth","pyth"
"doge#price","1713831554001","0.00014184","0.16076676","2","usd","pyth","pyth"
"doge#price","1713831555000","0.00013937","0.16076923","2","usd","pyth","pyth"
"doge#price","1713831555001","0.00020312","0.16076676","2","usd","pyth","pyth"
"doge#price","1713831556000","0.00020172","0.16077221","2","usd","pyth","pyth"
"doge#price","1713831557000","0.0001209","0.16076323","2","usd","pyth","pyth"
"doge#price","1713831557001","0.00012152","0.16076323","2","usd","pyth","pyth"
"doge#price","1713831557002","0.00016077","0.16076856","2","usd","pyth","pyth"
"doge#price","1713831557003","0.00016041","0.16077244","2","usd","pyth","pyth"
"doge#price","1713831557004","0.00016167","0.16076945","2","usd","pyth","pyth"
"doge#price","1713831558000","0.00015395","0.16075981","2","usd","pyth","pyth"
"doge#price","1713831558001","0.00015271","0.16075857","2","usd","pyth","pyth"
"doge#price","1713831559000","0.00016308","0.16074315","2","usd","pyth","pyth"
"doge#price","1713831559001","0.00016371","0.1607426","2","usd","pyth","pyth"
"doge#price","1713831560000","0.00016338","0.1607426","2","usd","pyth","pyth"
"doge#price","1713831560001","0.00015809","0.16074315","2","usd","pyth","pyth"
"doge#price","1713831560002","0.00015498","0.16074403","2","usd","pyth","pyth"
"doge#price","1713831561000","0.0001591","0.16074169","2","usd","pyth","pyth"
"doge#price","1713831562000","0.0001591","0.16074169","2","usd","pyth","pyth"
"doge#price","1713831562001","0.00015563","0.16074356","2","usd","pyth","pyth"
"doge#price","1713831562002","0.00015572","0.16074356","2","usd","pyth","pyth"
"doge#price","1713831562003","0.00015759","0.16074169","2","usd","pyth","pyth"
"doge#price","1713831563000","0.00015614","0.1607453","2","usd","pyth","pyth"
"doge#price","1713831563001","0.00015992","0.16074417","2","usd","pyth","pyth"
"doge#price","1713831564000","0.00014396","0.16074223","2","usd","pyth","pyth"
"doge#price","1713831564001","0.00015581","0.16074398","2","usd","pyth","pyth"
"doge#price","1713831565000","0.0001568","0.16074299","2","usd","pyth","pyth"
"doge#price","1713831565001","0.00016304","0.16074216","2","usd","pyth","pyth"
"doge#price","1713831565002","0.00016304","0.16074216","2","usd","pyth","pyth"
